dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports
0.826959,tcp,http,FIN,10,10,820,2466,22.975746,62,252,7139.410645,21476.27539,2,2,91.884333,83.693219,5297.724802,175.734141,255,730616848,2196333145,255,0.124265,0.051186,0.073079,82,247,1,789,1,1,1,1,1,1,0,0,1,1,1,0
0.395296,tcp,http,FIN,10,6,918,268,37.946247,254,252,16736.82422,4533.311523,2,1,40.457889,66.954602,2236.703927,103.539172,255,1982019640,527991739,255,0.081368,0.060519,0.020849,92,45,1,0,2,1,1,1,1,1,0,0,1,1,1,0
0.280829,tcp,ssl,FIN,12,8,1468,2528,67.656827,254,252,38343.61719,63013.43359,3,2,25.52991,37.522,1349.01561,58.875762,255,834949015,1227165211,255,0.06019,0.012708,0.047482,122,316,0,0,1,1,1,1,1,1,0,0,0,1,1,0
0.302216,tcp,http,FIN,10,8,1492,1224,56.251159,254,252,35550.73438,28350.58398,2,2,33.579556,37.739715,1732.302591,61.944977,255,2100061918,3709657098,255,0.077367,0.0206,0.056767,149,153,1,109,1,1,1,1,1,1,0,0,1,1,1,0
3.00E-06,unas,-,INT,2,0,200,0,333333.3215,254,0,266666656,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0
4.00E-06,udp,-,INT,2,0,1064,0,250000.0006,254,0,1.06E+09,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,532,0,0,0,35,2,14,14,1,35,0,0,0,14,35,0
59.979668,arp,-,INT,2,0,92,0,0.016672,0,0,6.135412,0,0,0,60002.028,0,19.492705,0,0,0,0,0,0,0,0,46,0,0,0,1,2,1,1,1,1,0,0,0,1,1,1
8.00E-06,udp,-,INT,2,0,104,0,125000.0003,254,0,5.20E+07,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,52,0,0,0,7,2,1,1,1,7,0,0,0,1,7,0
1.00E-06,udp,dns,INT,2,0,114,0,1000000.003,254,0,4.56E+08,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,57,0,0,0,33,2,18,18,18,33,0,0,0,18,33,0
0.829652,tcp,-,FIN,10,8,534,354,20.490519,254,252,4638.089355,2989.205078,2,1,98.532501,108.33443,6075.891435,149.386937,255,882790517,2653692617,255,0.09964,0.07131,0.02833,53,44,0,0,2,1,1,1,1,2,0,0,0,1,2,0
9.00E-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,57,0,0,0,33,2,17,17,17,33,0,0,0,17,33,0
0.897266,tcp,-,FIN,10,8,534,354,18.946445,254,252,4288.583496,2763.951904,2,1,99.696222,135.025328,5421.325306,216.079219,255,3764551757,3091411331,255,0.143485,0.086329,0.057156,53,44,0,0,3,1,1,1,1,3,0,0,0,1,3,0
0.813565,tcp,-,FIN,10,6,508,268,18.437371,254,252,4503.635254,2202.651367,2,1,86.618889,142.198797,4468.870183,221.560453,255,1229344365,2212062494,255,0.181653,0.102566,0.079087,51,45,0,0,5,1,1,1,1,2,0,0,0,1,2,0
9.00E-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,57,0,0,0,33,2,19,17,17,34,0,0,0,18,33,0
2.113354,tcp,pop3,FIN,22,38,1062,30960,27.917708,62,252,3838.448242,114116.2344,7,17,100.59433,53.287406,5249.491845,3684.095082,255,2647275167,4176579735,255,0.201559,0.141715,0.059844,48,815,0,0,1,1,1,1,1,1,0,0,0,5,1,0
9.00E-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,57,0,0,0,37,2,33,33,16,37,0,0,0,34,37,0
0.864552,tcp,http,FIN,10,6,848,268,17.350026,254,252,7069.557129,2072.749756,2,1,84.706556,149.353594,4920.932426,229.04375,255,514938869,2832541285,255,0.175446,0.117775,0.057671,85,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0
0.728968,tcp,-,FIN,10,8,1426,354,23.320639,254,252,14091.15332,3402.06958,2,1,80.852222,94.52343,5598.915221,154.455656,255,1144267988,3930621310,255,0.133482,0.067301,0.066181,143,44,0,0,4,1,2,1,1,4,0,0,0,1,5,0
0,arp,-,INT,1,0,46,0,0,0,0,0,0,0,0,60000.476,0,0,0,0,0,0,0,0,0,0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1
5.00E-06,udp,dns,INT,2,0,114,0,200000.0051,254,0,91200000,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,57,0,0,0,10,2,10,10,10,10,0,0,0,10,10,0
9.00E-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,57,0,0,0,37,2,17,16,7,37,0,0,0,16,37,0
8.00E-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,5.70E+07,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,57,0,0,0,39,2,25,25,12,39,0,0,0,25,39,0
0.190783,tcp,-,FIN,12,6,3560,268,89.106475,254,252,136867.5469,9392.871094,3,1,15.360363,35.345602,921.700039,53.199102,255,194582243,2582282382,255,0.067179,0.014054,0.053125,297,45,0,0,1,1,1,1,1,1,0,0,0,1,1,0
0.911939,tcp,-,FIN,10,8,2516,354,18.641597,254,252,19869.75,2719.47998,2,1,97.111111,118.513289,5336.930867,217.845906,255,3566792518,670827668,255,0.145786,0.082341,0.063445,252,44,0,0,7,1,1,1,1,3,0,0,0,3,3,0
1.949418,tcp,-,FIN,14,8,8834,354,10.772446,254,252,33663.38281,1272.174561,4,1,145.504921,261.639422,12796.98648,395.467219,255,2890393944,786082048,255,0.174333,0.117933,0.0564,631,44,0,0,3,1,1,1,1,2,0,0,0,1,3,0
6.00E-06,sctp,-,INT,2,0,104,0,166666.6608,254,0,69333328,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,52,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0
0.234504,tcp,http,FIN,10,10,804,5776,81.022072,62,252,24698.93945,177361.5781,2,2,25.969889,24.427334,1424.764445,0,255,1504421510,1225238723,255,0.030742,0.014649,0.016093,80,578,1,2440,2,1,1,1,1,1,0,0,1,1,1,0
0.595495,tcp,-,FIN,10,6,606,268,25.189129,254,252,7335.074219,3009.26123,2,1,62.810222,93.771602,3303.802895,146.245141,255,595535522,1368843197,255,0.186905,0.126634,0.060271,61,45,0,0,7,1,3,2,1,6,0,0,0,3,6,0
9.00E-06,unas,-,INT,2,0,200,0,111111.1072,254,0,88888888,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,100,0,0,0,6,2,3,3,3,6,0,0,0,5,6,0
0,arp,-,INT,1,0,46,0,0,0,0,0,0,0,0,60000.68,0,10.954514,0,0,0,0,0,0,0,0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1
8.00E-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,5.70E+07,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,57,0,0,0,31,2,21,17,17,36,0,0,0,20,31,0
8.00E-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,5.70E+07,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,57,0,0,0,33,2,17,17,17,33,0,0,0,17,33,0
5.00E-06,udp,dns,INT,2,0,114,0,200000.0051,254,0,91200000,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,57,0,0,0,32,2,14,14,14,32,0,0,0,14,32,0
0.359104,tcp,http,FIN,10,8,778,1568,47.340045,62,252,15616.64551,30564.96094,2,2,39.900444,43.12557,1997.899221,61.420773,255,281751376,4133170579,255,0.102609,0.056557,0.046052,78,196,0,0,3,1,3,2,1,2,0,0,0,2,2,0
9.00E-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,57,0,0,0,21,2,17,17,17,21,0,0,0,17,21,0
0,arp,-,INT,1,0,46,0,0,0,0,0,0,0,0,60000.8,0,15.492037,0,0,0,0,0,0,0,0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1
6.00E-06,ttp,-,INT,2,0,200,0,166666.6608,254,0,133333328,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,100,0,0,0,4,2,2,2,2,4,0,0,0,2,4,0
0.642339,tcp,-,FIN,10,6,588,268,23.352155,254,252,6600.875977,2789.804199,2,1,69.699,110.627,3584.847869,174.817797,255,1134409256,2126340032,255,0.179964,0.089195,0.090769,59,45,0,0,5,1,2,1,1,5,0,0,0,2,5,0
0.240693,tcp,-,FIN,14,8,6016,812,87.24807,254,252,185697.125,23631.76367,4,2,17.486616,31.702857,1023.496292,47.706969,255,2049444737,2379988542,255,0.040061,0.018764,0.021297,430,102,0,0,1,1,2,1,1,2,0,0,0,2,1,0
0.918577,tcp,http,FIN,10,10,828,1138,20.684167,62,252,6497.005371,8926.850586,2,2,101.939,94.178555,6316.526618,164.630922,255,833232879,3823646735,255,0.191936,0.070962,0.120974,83,114,1,124,2,1,1,1,1,2,0,0,1,2,2,0
5.00E-06,udp,-,INT,2,0,104,0,200000.0051,254,0,83200000,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,52,0,0,0,7,2,2,2,1,7,0,0,0,2,7,0
2.00E-06,unas,-,INT,2,0,200,0,500000.0013,254,0,4.00E+08,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,100,0,0,0,3,2,2,2,2,3,0,0,0,4,3,0
9.00E-06,narp,-,INT,2,0,200,0,111111.1072,254,0,88888888,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,100,0,0,0,3,2,2,2,2,3,0,0,0,4,3,0
8.00E-06,trunk-1,-,INT,2,0,200,0,125000.0003,254,0,1.00E+08,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,100,0,0,0,6,2,2,2,2,7,0,0,0,2,6,0
3.00E-06,micp,-,INT,2,0,200,0,333333.3215,254,0,266666656,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,100,0,0,0,7,2,2,2,2,7,0,0,0,13,7,0
29.942314,ospf,-,INT,20,0,1280,0,0.634553,254,0,324.891388,0,0,0,1575.911375,0,1754.280875,0,0,0,0,0,0,0,0,64,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0
0.487734,tcp,-,FIN,14,12,950,622,51.257449,254,252,14483.30469,9365.760742,4,4,36.102386,43.571547,1931.781733,53.124582,255,426151727,1149252300,255,0.054842,0.008444,0.046398,68,52,0,0,2,1,1,1,1,1,0,0,0,1,1,0
0.25023,tcp,http,FIN,14,6,7338,268,75.93014,254,252,217847.5625,7161.411133,4,1,16.586616,42.018602,973.869721,54.580199,255,3930182043,1886543548,255,0.075571,0.040128,0.035443,524,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0
0.584995,tcp,smtp,FIN,14,12,1258,786,42.73541,62,252,15986.46191,9859.914062,4,4,44.999614,44.984273,2173.762719,62.070566,255,2661274752,1632836189,255,0.11009,0.054965,0.055125,90,66,0,0,1,1,1,1,1,1,0,0,0,1,1,0
9.00E-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,57,0,0,0,6,2,6,6,6,6,0,0,0,6,6,0
4.00E-06,udp,-,INT,2,0,1098,0,250000.0006,254,0,1.10E+09,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,549,0,0,0,8,2,2,2,1,7,0,0,0,2,8,0
1.006313,ospf,-,INT,42,0,1890,0,40.742792,254,0,14667.40527,0,0,0,24.544219,0,25.637791,0,0,0,0,0,0,0,0,45,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0
1.649863,tcp,http,FIN,10,8,1276,354,10.303886,254,252,5571.371582,1503.155151,2,1,183.318111,232.638859,11685.30776,364.214844,255,3998350088,2253659629,255,0.035182,0.020595,0.014587,128,44,1,0,2,1,1,1,1,1,0,0,1,2,1,0
5.00E-06,udp,dns,INT,2,0,114,0,200000.0051,254,0,91200000,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,57,0,0,0,21,2,6,6,3,21,0,0,0,7,21,0
1.00E-05,udp,dns,INT,2,0,114,0,100000.0025,254,0,45600000,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,57,0,0,0,30,2,17,17,17,30,0,0,0,17,30,0
1.683559,tcp,http,FIN,10,10,848,1124,11.285616,62,252,3630.404541,4808.860352,2,2,186.954333,179.229219,10792.03041,296.487219,255,3946587731,2657888502,255,0.149038,0.070491,0.078547,85,112,1,99,1,1,1,1,1,1,0,0,1,2,1,0
8.00E-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,5.70E+07,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,57,0,0,0,27,2,10,10,6,27,0,0,0,10,27,0
1.00E-05,unas,-,INT,2,0,200,0,100000.0025,254,0,8.00E+07,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,100,0,0,0,3,2,1,1,1,3,0,0,0,1,3,0
2.004716,tcp,-,CON,6,2,978,86,3.491767,62,252,3252.331055,171.595383,2,1,400.9432,0.003,22300.3317,0,255,3972816048,2847874684,255,1.491187,0.814079,0.677108,163,43,0,0,1,3,1,1,1,1,0,0,0,1,1,0
0.278795,tcp,-,FIN,10,6,486,268,53.802973,254,252,12568.37402,6427.661621,2,1,28.863778,47.229199,1572.620438,74.870852,255,1548056778,928851455,255,0.099,0.042641,0.056359,49,45,0,0,11,1,3,3,2,11,0,0,0,3,11,0
0.303214,tcp,http,FIN,12,16,1350,10470,89.046016,62,252,32663.39844,258985.3906,3,6,27.564909,19.677801,1296.58079,1477.160286,255,3337308363,1542141086,255,0.052461,0.007164,0.045297,113,654,1,2921,1,1,1,1,1,1,0,0,1,1,1,0
3.00E-06,udp,dns,INT,2,0,114,0,333333.3215,254,0,1.52E+08,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,57,0,0,0,20,2,19,17,17,20,0,0,0,18,20,0
0.189392,tcp,http,FIN,10,6,938,268,79.200811,254,252,35693.16406,9461.856445,2,1,19.554778,36.167199,1042.382465,61.355516,255,2161198022,4284243951,255,0.055861,0.008553,0.047308,94,45,0,0,1,1,1,1,1,1,0,0,0,1,1,0
0.344281,tcp,-,FIN,10,6,534,268,43.569063,254,252,11176.91699,5205.050781,2,1,35.926444,59.431398,1805.851089,81.807406,255,1974607051,2598419177,255,0.119937,0.047115,0.072822,53,45,0,0,8,1,1,1,1,3,0,0,0,1,3,0
1.24162,tcp,pop3,FIN,40,164,1832,195666,163.496085,62,252,11513.99023,1253027.5,7,80,31.836411,7.440356,1594.208544,779.555952,255,1089085298,1316930005,255,0.067125,0.00753,0.059595,46,1193,0,0,1,1,1,1,1,1,0,0,0,1,2,0
3.00E-06,unas,-,INT,2,0,200,0,333333.3215,254,0,266666656,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,100,0,0,0,4,2,1,1,1,4,0,0,0,1,4,0
3.00E-06,unas,-,INT,2,0,200,0,333333.3215,254,0,266666656,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,100,0,0,0,5,2,2,2,2,5,0,0,0,2,5,0
0.583147,tcp,-,FIN,12,6,5698,268,29.15217,62,252,71666.32031,3072.981689,3,1,53.013363,110.253398,3574.751989,204.65425,255,3493165438,3850544208,255,0.075102,0.031174,0.043928,475,45,0,0,1,1,1,1,1,1,0,0,0,1,1,0
3.00E-06,udp,dns,INT,2,0,114,0,333333.3215,254,0,1.52E+08,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,57,0,0,0,26,2,14,14,14,26,0,0,0,14,26,0
8.00E-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,5.70E+07,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,57,0,0,0,31,2,16,15,15,31,0,0,0,15,31,0
1.924873,tcp,ftp-data,FIN,8,8,364,1540,7.792722,62,252,1325.801758,5602.447754,1,2,274.92042,257.197578,20145.9672,575.782187,255,4223268951,1509105489,255,0.209516,0.124485,0.085031,46,193,0,0,1,1,2,1,1,2,0,0,0,2,1,0
9.00E-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,57,0,0,0,20,2,17,16,16,20,0,0,0,16,20,0
1.60E-05,udp,dns,INT,2,0,114,0,62500.00016,254,0,28500000,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0,57,0,0,0,13,2,13,13,13,13,0,0,0,13,13,0
0.638949,tcp,http,FIN,12,12,1200,3990,35.996614,62,252,13772.61816,45800.21484,3,3,58.086274,56.336727,3557.993714,104.327484,255,3319293685,729883470,255,0.083641,0.018529,0.065112,100,333,1,169,1,1,1,1,1,1,0,0,1,1,1,0
0,arp,-,INT,1,0,46,0,0,0,0,0,0,0,0,60000.936,0,15.492055,0,0,0,0,0,0,0,0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1
1.092944,tcp,http,FIN,12,10,1262,2312,19.214159,62,252,8468.869141,15232.25293,3,3,99.358545,112.978664,5546.281213,218.151844,255,2110334233,435541184,255,0.135054,0.075382,0.059672,105,231,0,0,1,1,3,1,1,1,0,0,0,1,1,0
1.078553,tcp,-,FIN,14,14,1442,764,25.033541,254,252,9931.825195,5266.31543,4,4,82.965618,75,4774.264653,101.043633,255,2498244664,2588545997,255,0.118479,0.057055,0.061424,103,55,0,0,4,1,1,1,1,4,0,0,0,1,4,0
1.10E-05,udp,-,INT,2,0,2250,0,90909.0902,254,0,818181824,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,1125,0,0,0,10,2,2,2,1,7,0,0,0,2,7,0
0,arp,-,INT,1,0,46,0,0,0,0,0,0,0,0,60000.792,0,10.954523,0,0,0,0,0,0,0,0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1
3.00E-06,unas,-,INT,2,0,200,0,333333.3215,254,0,266666656,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,100,0,0,0,4,2,3,3,3,4,0,0,0,3,4,0
0.693846,tcp,-,FIN,10,6,534,268,21.61863,254,252,5545.899414,2582.705811,2,1,72.403444,99.444797,3935.202375,140.376125,255,282673460,777633924,255,0.294612,0.196615,0.097997,53,45,0,0,5,1,1,1,1,4,0,0,0,1,4,0
0.520353,tcp,http,FIN,10,8,982,986,32.670128,62,252,13590.77344,13267.91602,2,2,57.817,66.69043,2924.266999,94.280406,255,2665115140,4049191849,255,0.09214,0.05281,0.03933,98,123,1,56,4,1,1,2,1,3,0,0,1,2,3,0
1.774347,tcp,-,FIN,112,20,135649,870,73.82998,254,252,606140.75,3728.695801,53,1,15.534946,88.377102,1668.427772,100.973812,255,1758935143,1665960899,255,0.290685,0.095176,0.195509,1211,44,0,0,3,1,1,1,1,2,0,0,0,1,2,0
5.161773,tcp,smtp,FIN,24,22,7029,1796,8.717934,62,252,10441.37305,2658.001221,9,8,224.420658,241.991187,17462.51882,500.106562,255,761662892,1777572655,255,0.169063,0.079948,0.089115,293,82,0,0,1,1,1,1,1,2,0,0,0,1,1,0
0.195496,tcp,http,FIN,10,6,912,268,76.727915,254,252,33596.59766,9166.428711,2,1,19.854667,37.401602,1058.954499,63.235664,255,720670833,202576325,255,0.054632,0.008479,0.046153,91,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0
0.23163,tcp,http,FIN,10,8,892,1496,73.392912,62,252,27733.88672,45210.03516,2,2,25.736667,31.177572,1384.140909,55.473004,255,1232753152,584750712,255,0.052895,0.007057,0.045838,89,187,1,347,6,1,1,1,1,5,0,0,1,1,5,0
3.00E-06,udp,dns,INT,2,0,114,0,333333.3215,254,0,1.52E+08,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,57,0,0,0,25,2,10,10,10,25,0,0,0,11,25,0
1.184785,tcp,ftp,FIN,22,22,1158,1632,36.293504,62,252,7468.021484,10520.05176,7,9,56.418332,55.675665,3108.791717,3069.68246,255,2858871417,1138377818,255,0.063453,0.014865,0.048588,53,74,0,0,1,1,1,1,1,1,1,1,0,1,1,0
9.00E-06,udp,-,INT,2,0,104,0,111111.1072,254,0,46222220,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,52,0,0,0,4,2,2,2,2,4,0,0,0,2,4,0
0.612337,tcp,-,FIN,10,8,754,354,27.762491,254,252,8870.932617,4050.057373,2,1,68.037444,70.047859,3875.763919,119.39807,255,1513962537,4100427575,255,0.16781,0.121168,0.046642,75,44,0,0,9,1,2,2,1,4,0,0,0,3,4,0
0.508191,tcp,http,FIN,10,10,818,3744,37.387518,62,252,11601.9375,53050.92188,2,3,56.465667,45.924,2777.859974,2933.853733,255,3711764377,429894795,255,0.182339,0.094214,0.088125,82,374,1,1409,2,1,1,2,1,22,0,0,1,2,1,0
